"QueChu","QueBien","ChuThich"
"PHONG ĐỊA QUAN","THIÊN ĐỊA BỈ","Cảnh tượng tốt, mua bán không có gì lo lắng."
"PHONG ĐỊA QUAN","SƠN ĐỊA BÁC","Áp lực bán rất lớn, tránh xa chỗ giá cao, tìm chỗ giá thấp, sẽ xuất hiện giá thấp mới, thuận theo xu thế mua bán không có gì nguy hiểm."
"PHONG ĐỊA QUAN","THỦY ĐỊA TỶ","Nhập cuộc trôi chảy, cầu tài là được, không có rủi ro."
"SƠN ĐỊA BÁC","SƠN LÔI DI","Sau khi nhập cuộc, chứng phiếu bị kẹt, cần chờ tình hình chuyển biến có lợi."
"SƠN ĐỊA BÁC","SƠN THỦY MÔNG","Mười phần thua đến chín , không nên nhập cuộc, cần nghỉ ngơi, điều chỉnh tâm lý, cầu tài không dễ."
"SƠN ĐỊA BÁC","CẤN VI SƠN","Thị trường vận hành ngưng trễ, hai bên mua bán đối địch, cầu tài gian khổ."
"SƠN ĐỊA BÁC","HỎA ĐỊA TẤN","Giá tăng gặp phải trở lực, bên bán thực lực khá mạnh, cuối cùng giá cả lại quay trở xuống."
"SƠN ĐỊA BÁC","PHONG ĐỊA QUAN","Giá thấp đang lên cao dần, về sau lại xuống thấp."
"SƠN ĐỊA BÁC","KHÔN VI ĐỊA","Giá cả trượt xuống kéo dài, lòng người lo lắng, mua bán bị kẹt, không nên nhập cuộc, chú ý quan sát thời điểm chuyển biến."
"HỎA ĐỊA TẤN","HỎA LÔI PHỆ HẠP","Thị trường có trở ngại, mua bán không hài hòa, nên quan sát."
"HỎA ĐỊA TẤN","HỎA THỦY VỊ TẾ","Mua bán tranh giành, tuyệt đối không được nhập cuộc, quan sát là chính."
"HỎA ĐỊA TẤN","HỎA SƠN LỮ","Hành động kiêng nhất là làm liều, mua bán không rõ ràng, tự mình mê hoặc mình, cuối cùng sẽ thua thiệt, tốt nhất không nên làm mới."
"HỎA ĐỊA TẤN","SƠN ĐỊA BÁC","Giá xuống thấp theo bậc thang, dựa theo xu thế bán ra có thể thu lợi."
"HỎA ĐỊA TẤN","THIÊN ĐỊA BỈ","Mua bán không thuận, vận khí không thông, tuy không lỗ nhiều nhưng rất đáng lo."
"HỎA ĐỊA TẤN","LÔI ĐỊA DỰ","Về cuối không nên chạy theo bán ra, phải cảnh giác khi tình hình biến đổi, có thể mua vào ở khu vực giá thấp, giữ hàng lại có thể thu lợi."
"HỎA THIÊN ĐẠI HỮU","HỎA PHONG ĐỈNH","Có dấu hiệu thắng lợi, nên nắm chắc thời cơ, nhưng phải chú ý đi ngược lại cục diện."
"HỎA THIÊN ĐẠI HỮU","LY VI HỎA","Cầu tài vất vả, do đó lấy thủ làm chính, không thể hung hăng, tốt nhất là quan sát, chờ thời cơ."
"HỎA THIÊN ĐẠI HỮU","HỎA TRẠCH KHUÊ","Thị trường có biến cố, mua và bán hơi hỗn loạn, nhất thiết không nên tham gia."
"HỎA THIÊN ĐẠI HỮU","SƠN THIÊN ĐẠI SÚC","Không thể chỉ thấy hiện tượng bề ngoài mà nhập cuộc một cách mù quáng, dễ bị kẹt, cầu tài không được, tổn thất là chắc."
"CÀN VI THIÊN","THIÊN PHONG CẤU","Thuận theo tình thế mà mua bán, trong lòng thoải mái, vừa có lãi vừa không bị rủi ro. Nếu có bạn hẹn hò gặp gỡ thì sẽ bình yên vô sự"
"CÀN VI THIÊN","THIÊN HỎA ĐỒNG NHÂN","Phải mua bán cẩn thận, vì mua hay bán đều không lợi. Nếu trong  tay không còn cổ phiếu thì nên chờ đợi quan sát, nếu có hàng là có khả năng đang bị kẹt"
"CÀN VI THIÊN","THIÊN TRẠCH LÝ","Bên bán đang bị kẹt, mua vào dễ có lãi"
"CÀN VI THIÊN","PHONG THIÊN TIỂU SÚC","Giá lên xuống rõ rệt, tùy tình hình cụ thể mà mua bán thì hôm nay sẽ có lãi"
"CÀN VI THIÊN","HỎA THIÊN ĐẠI HỮU","Không được tham lam, phải phân tích thị trường cẩn thận, vứt bỏ tư tưởng may rủi, ăn thua vì không có xu hướng gì lớn. Phải củng cố những thành quả mình đã đạt được, nếu không sẽ bị mắc kẹt"
