"TenQue","Hao6","Hao5","Hao4","Hao3","Hao2","Hao1","Cung","QueThuong","QueHa","HaoThe","LoiQue","DichLoiQue","LoiBan","Hao1Dich","Hao1LoiBan","Hao2Dich","Hao2LoiBan","Hao3Dich","Hao3LoiBan","Hao4Dich","Hao4LoiBan","Hao5Dich","Hao5LoiBan","Hao6Dich","Hao6LoiBan","Hao1LoiQue","Hao2LoiQue","Hao3LoiQue","Hao4LoiQue","Hao5LoiQue","Hao6LoiQue","ThuTuQue"
"CÀN VI THIÊN","Phụ Mẫu Tuất Thổ (Thế)","Huynh Đệ Thân Kim","Quan Quỷ Ngọ Hỏa","Phụ Mẫu Thìn Thổ (Ứng)","Thê Tài Dần Mộc","Tử Tôn Tí Thủy","Càn","Càn","Càn","6","Càn: Nguyên, hanh, lợi, trinh","Càn (có bốn đức – đặc tính): đầu tiên và lớn, hanh thông, thích đáng, chính và bền.","","","","","","","","","","","","","","","","","","","","1"
"THIÊN PHONG CẤU","Phụ Mẫu Tuât Thổ","Huynh Đệ Thân Kim","Quan Quỷ Ngọ Hỏa (Ứng)","Huynh Đệ Dậu Kim","Tử Tôn Hợi Thủy","Phụ Mẫu Sửu Thổ(Thế)","Càn","Càn","Tốn","1","","","","","","","","","","","","","","","","","","","","","","44"
"THIÊN SƠN ĐỘN","Phụ Mẫu Tuất Thổ","Huynh Đệ Thân Kim (Ứng)","Quan Quỷ Ngọ Hỏa","Huynh Đệ Thân Kim","Quan Quỷ Ngọ Hỏa (Thế)","Phụ Mẫu Thìn Thổ","Càn","Càn","Cấn","2","","","","","","","","","","","","","","","","","","","","","","33"
"THIÊN ĐỊA BỈ","Phụ Mẫu Tuất Thổ (Ứng)","Huynh Đệ Thân Kim","Quan Quỷ Ngọ Hỏa","Thê Tài Mão Mộc (Thế)","Quan Quỷ Tỵ Hỏa","Phụ Mẫu Mùi Thổ","Càn","Càn","Khôn","3","","","","","","","","","","","","","","","","","","","","","","12"
"PHONG ĐỊA QUAN","Thê Tài Mão Mộc","Quan Quỷ Tỵ Hỏa","Phụ Mẫu Mùi Thổ (Thế)"," ThêTài Mão Mộc","Quan Quỷ Tỵ Hỏa","Phụ Mẫu Mùi Thổ (Ứng)","Càn","Tốn","Khôn","4","","","","","","","","","","","","","","","","","","","","","","20"
"SƠN ĐỊA BÁC","Thê Tài Dần Mộc","Tử Tôn Tí Thủy (Thế)","Phụ Mẫu Tuất Thổ","Thê Tài Mão Mộc","Quan Quỷ Tỵ Hỏa (Ứng)","Phụ Mẫu Mùi Thổ","Càn","Cấn","Khôn","5","","","","","","","","","","","","","","","","","","","","","","23"
"HỎA ĐỊA TẤN","Quan Quỷ Tỵ Hỏa","Phụ Mẫu Mùi Thổ","Huynh Đệ Dậu Kim (Thế)","Thê Tài Mão Mộc","Quan Quỷ Tỵ Hỏa","Phụ Mẫu Mùi Thổ (Ứng)","Càn","Ly","Khôn","4","","","","","","","","","","","","","","","","","","","","","","35"
"HỎA THIÊN ĐẠI HỮU","Quan Quỷ Tỵ Hỏa (Ứng)","Phụ Mẫu Mùi Thổ","Huynh Đệ Dậu Kim","Phụ Mẫu Thìn Thổ (Thế)","Thê Tài Dần Mộc","Tử Tôn Tí Thủy","Càn","Ly","Càn","3","","","","","","","","","","","","","","","","","","","","","","14"
"ĐOÀI VI TRẠCH","Phụ Mẫu Mùi Thổ (Thế)","Huynh Đệ Dậu Kim","Tử Tôn Hợi Thủy","Phụ Mẫu Sửu Thổ (Ứng)","Thê Tài Mão Mộc","Quan Quỷ Tỵ Hỏa","Đoài","Đoài","Đoài","6","","","","","","","","","","","","","","","","","","","","","","58"
"TRẠCH THỦY KHỐN","Phụ Mẫu Mùi Thổ","Huynh Đệ Dậu Kim","Tử Tôn Hợi Thủy (Ứng)","Quan Quỷ Ngọ Hỏa","Phụ Mẫu Thìn Thổ","Thê Tài Dần Mộc(Thế)","Đoài","Đoài","Khảm","1","","","","","","","","","","","","","","","","","","","","","","47"
"TRẠCH ĐỊA TỤY","Phụ Mẫu Mùi Thổ","Huynh Đệ Dậu Kim (Ứng)","Huynh Đệ Hợi Thủy","Thê Tài Mão Mộc","Quan Quỷ Tỵ Hỏa (Thế)","Phụ Mẫu Mùi Thổ","Đoài","Đoài","Khôn","2","","","","","","","","","","","","","","","","","","","","","","45"
"TRẠCH SƠN HÀM","Phụ Mẫu Mùi Thổ (Ứng)","Huynh Đệ Dâu Kim","Tử Tôn Hợi Thủy","Huynh Đệ Thân Kim (Thế)","Quan Quỷ Ngọ Hỏa","Phụ Mẫu Thìn Thổ","Đoài","Đoài","Cấn","3","","","","","","","","","","","","","","","","","","","","","","31"
"THỦY SƠN KIỀN","Tử Tôn Tí Thủy","Phụ Mẫu Tuất Thổ","Huynh Đệ Thân Kim (Thế)","Huynh Đệ Thân Kim","Quan Quỷ Ngọ Hỏa","Phụ Mẫu Thìn Thổ (Ứng)","Đoài","Khảm","Cấn","4","","","","","","","","","","","","","","","","","","","","","","39"
"ĐỊA SƠN KHIÊM","Huynh Đệ Dậu Kim","Tử Tôn Hợi Thủy (Thế)","Phụ Mẫu Sửu Thổ","Huynh Đệ Thân Kim","Quan Quỷ Ngọ Hỏa (Ứng)","Phụ Mẫu Thìn Thổ","Đoài","Khôn","Cấn","5","","","","","","","","","","","","","","","","","","","","","","15"
"LÔI SƠN TIỂU QUÁ","Phụ Mẫu Tuất Thổ","Huynh Đệ Thân Kim","Quan Quỷ Ngọ Hỏa (Thế)","Huynh Đệ Thân Kim","Quan Quỷ Ngọ Hỏa","Phụ Mẫu Thìn Thổ (Ứng)","Đoài","Chấn","Cấn","4","","","","","","","","","","","","","","","","","","","","","","62"
"LÔI TRẠCH QUY MUỘI","Phụ Mẫu Tuất Thổ (Ứng)","Huynh Đệ Thân Kim","Quan Quỷ Ngọ Hỏa","Phụ Mẫu Sửu Thổ (Thế)","Thê Tài Mão Mộc","Quan Quỷ Tỵ Hỏa","Đoài","Chấn","Đoài","3","","","","","","","","","","","","","","","","","","","","","","54"
"LY VI HỎA","Huynh Đệ Tỵ Hỏa (Thế)","Tử Tôn Mùi Thổ","Thê Tài Dậu Kim","Quan Quỷ Hợi Thủy (Ứng)","Tử Tôn Sửu Thổ","Phụ Mẫu Mão Mộc","Ly","Ly","Ly","6","","","","","","","","","","","","","","","","","","","","","","30"
"HỎA SƠN LỮ","Huynh Đệ Tỵ Hỏa","Tử Tôn Mùi Thổ","Thê Tài Dậu Kim (Ứng)","Thê Tài Thân Kim","Huynh Đệ Ngọ Hỏa","Tử Tôn Thìn Thổ (Thế)","Ly","Ly","Cấn","1","","","","","","","","","","","","","","","","","","","","","","56"
"HỎA PHONG ĐỈNH","Huynh Đệ Tỵ Hỏa","Tử Tôn Mùi Thổ (Ứng)   ","Thê Tài Dậu Kim","Thê Tài Dậu Kim","Quan Quỷ Hợi Thủy (Thế)","Tử Tôn Sửu Thổ","Ly","Ly","Tốn","2","","","","","","","","","","","","","","","","","","","","","","50"
"HỎA THỦY VỊ TẾ","Huynh Đệ Tỵ Hỏa (Ứng)","Tử Tôn Mùi Thổ","Thê Tài Dậu Kim","Huynh Đệ Ngọ Hỏa (Thế)","Tử Tôn Thìn Thổ","Phụ Mẫu Dần Mộc","Ly","Ly","Khảm","3","","","","","","","","","","","","","","","","","","","","","","64"
"SƠN THỦY MÔNG","Phụ Mẫu Dần Mộc","Quan Quỷ Tí Thủy","Tử Tôn Tuất Thổ (Thế)","Huynh Đệ Ngọ Hỏa","Tử Tôn Thìn Thổ","Phu Mẫu Dần Mộc (Ứng)","Ly","Cấn","Khảm","4","","","","","","","","","","","","","","","","","","","","","","4"
"PHONG THỦY HOÁN","Phụ Mẫu Mão Mộc","Huynh Đệ Tỵ Hỏa (Thế)","Tử Tôn Mùi Thổ","Huynh Đệ Ngọ Hỏa","Tử Tôn Thìn Thổ (Ứng)","Phụ Mẫu Dần Mộc","Ly","Tốn","Khảm","5","","","","","","","","","","","","","","","","","","","","","","59"
"THIÊN THỦY TỤNG","Tử Tôn Tuất Thổ","Thê Tài Thân Kim","Huynh Đệ Ngọ Hỏa (Thế)","Huynh Đệ Ngọ Hỏa","Tử Tôn Thìn Thổ","Phụ Mẫu Dần Mộc (Ứng)","Ly","Càn","Khảm","4","","","","","","","","","","","","","","","","","","","","","","6"
"THIÊN HỎA ĐỒNG NHÂN","Tử Tôn Tuất Thổ (Ứng)","Thê Tài Thân Kim","Huynh Đệ Ngo Hỏa","Quan Quỷ Hơi Thủy (Thế)","Tử Tôn Sửu Thổ","Phụ Mẫu Mão Mộc","Ly","Càn","Ly","3","","","","","","","","","","","","","","","","","","","","","","13"
"CHẤN VI LÔI","Thê Tài Tuất Thổ (Thế)","Quan Quỷ Thân Kim","Tử Tôn Ngọ Hỏa","Thê Tài Thìn Thổ (Ứng)","Huynh Đệ Dân Mộc","Phụ Mẫu Tí Thủy","Chấn","Chấn","Chấn","6","","","","","","","","","","","","","","","","","","","","","","51"
"LÔI ĐỊA DỰ","Thê Tài Tuất Thổ","Quan Quỷ Thân Kim (Ứng)","Tử Tôn Ngọ Hỏa","Huynh Đệ Mão Mộc","Tử Tôn Tỵ Hỏa","Thê Tài Mùi Thổ (Thế)","Chấn","Chấn","Khôn","1","","","","","","","","","","","","","","","","","","","","","","16"
