"ThienCan","DiaChi","TenNapAm","NguHanh","Notes"
"Giáp","Tý","Hải trung kim","Kim","Bởi ngũ hành của tý đối ứng là thủy, thủy còn gọi là hồ lớn, nơi đó thế thủy thịnh vượng. Trong ngũ hành kim tử ở tý, tang mộ ở sửu. Thủy thế thịnh vượng kim lại tử ở đó cho nên gọi là Hải trung kim."
"Ất","Sửu","Hải trung kim","Kim","Bởi ngũ hành của tý đối ứng là thủy, thủy còn gọi là hồ lớn, nơi đó thế thủy thịnh vượng. Trong ngũ hành kim tử ở tý, tang mộ ở sửu. Thủy thế thịnh vượng kim lại tử ở đó cho nên gọi là Hải trung kim."
"Bính","Dần","Lô trung hỏa","Hỏa","Dần ở địa chi là ngôi thứ 3, Mão ở địa chi là ngôi thứ 4, (bính, đinh trong ngũ hành thuộc hỏa) hỏa đã đạt đến vị trí chính lại được dần mão thuộc mộc. Trong ngũ hành trợ giúp. Khi này trời đất phảng phất như lửa trong lò mới sinh, vạn vật vừa mới bắt đầu sinh trưởng mà gọi là Lô Trung hỏa trời đất như lò lửa, âm dương như than củi."
"Đinh","Mão","Lô trung hỏa","Hỏa","Dần ở địa chi là ngôi thứ 3, Mão ở địa chi là ngôi thứ 4, (bính, đinh trong ngũ hành thuộc hỏa) hỏa đã đạt đến vị trí chính lại được dần mão thuộc mộc. Trong ngũ hành trợ giúp. Khi này trời đất phảng phất như lửa trong lò mới sinh, vạn vật vừa mới bắt đầu sinh trưởng mà gọi là Lô Trung hỏa trời đất như lò lửa, âm dương như than củi."
"Mậu","Thìn"," Đại lâm mộc","Mộc","Thìn đại biểu cho đất đai hoang dã, tỵ đứng ngôi thứ 6 trong địa chi. Mộc ở ngôi thứ 6 có lợi sinh cành lá xum xuê. Cây to xum xuê sinh ở nơi đất đai hoang dã mà gọi là Đại Lâm mộc."
"Kỷ","Tỵ"," Đại lâm mộc","Mộc","Thìn đại biểu cho đất đai hoang dã, tỵ đứng ngôi thứ 6 trong địa chi. Mộc ở ngôi thứ 6 có lợi sinh cành lá xum xuê. Cây to xum xuê sinh ở nơi đất đai hoang dã mà gọi là Đại Lâm mộc."
"Canh","Ngọ","Lộ bàng thổ","Thổ","Mùi ngũ hành là thổ sinh mộc, khiến cho ngọ ngũ hành là hỏa được thành ra hỏa vượng. Kết quả là thổ ngược lại bị chịu trở ngại. Thổ là nơi sinh vật (mộc), mộc lại sinh hỏa, hỏa phản lại đốt thổ. Cho nên thổ bị chịu hại lấy bản thân giống như đất bụi ven đường mà gọi là Lộ bàng thổ. Lộ bàng thổ nếu được thủy tưới có thể về với thổ mà sinh vạn vật. Nếu được kim giúp thì xây dựng cung điện phú quý một thời."
"Tân","Mùi","Lộ bàng thổ","Thổ","Mùi ngũ hành là thổ sinh mộc, khiến cho ngọ ngũ hành là hỏa được thành ra hỏa vượng. Kết quả là thổ ngược lại bị chịu trở ngại. Thổ là nơi sinh vật (mộc), mộc lại sinh hỏa, hỏa phản lại đốt thổ. Cho nên thổ bị chịu hại lấy bản thân giống như đất bụi ven đường mà gọi là Lộ bàng thổ. Lộ bàng thổ nếu được thủy tưới có thể về với thổ mà sinh vạn vật. Nếu được kim giúp thì xây dựng cung điện phú quý một thời."
"Nhâm","Thân","Kiếm phong kim","Kim","Ngũ hành của thân dậu là kim, đồng thời kim trong quá trình sinh trưởng vị trí lâm quan ở thân, đế vượng ở dậu. Kim sinh ra nếu thịnh vượng thì rất cương cứng, sự vật cương cứng không thể vượt qua được lưỡi kiếm, nên gọi là kiếm phong kim."
"Quý","Dậu","Kiếm phong kim","Kim","Ngũ hành của thân dậu là kim, đồng thời kim trong quá trình sinh trưởng vị trí lâm quan ở thân, đế vượng ở dậu. Kim sinh ra nếu thịnh vượng thì rất cương cứng, sự vật cương cứng không thể vượt qua được lưỡi kiếm, nên gọi là kiếm phong kim."
"Giáp","Tuất","Sơn đầu hỏa","Hỏa","Tuất hợi là cửa trời ( giáp ất thuộc mộc) đốt lửa soi sáng cửa trời, ánh lửa nhất định chiếu đến cực cao. Cho nên đem nó gọi là lửa trên núi. Nắng chiều tà mặt trời gác núi tỏa sáng lung linh, do đó hỏa trên núi có thể phản ánh được ráng trời."
"Ất","Hợi","Sơn đầu hỏa","Hỏa","Tuất hợi là cửa trời ( giáp ất thuộc mộc) đốt lửa soi sáng cửa trời, ánh lửa nhất định chiếu đến cực cao. Cho nên đem nó gọi là lửa trên núi. Nắng chiều tà mặt trời gác núi tỏa sáng lung linh, do đó hỏa trên núi có thể phản ánh được ráng trời."
